airport_code,airport_name,enplanements,year
MKE,General Mitchell International,4760170,2010
OAK,Metropolitan Oakland International,4673417,2010
RDU,Raleigh-Durham International,4465736,2010
AUS,Austin-Bergstrom International,4201136,2010
CLE,Cleveland-Hopkins International,4591097,2010
SMF,Sacramento International,4424279,2010
MEM,Memphis International,4930935,2010
MSY,Louis Armstrong New Orleans International,4088889,2010
SNA,John Wayne Airport-Orange County,4278623,2010
SJC,Norman Y. Mineta San Jose International,4056167,2010
PIT,Pittsburgh International,3996656,2010
SAT,San Antonio International,3916320,2010
SJU,Luis Munoz Marin International,4243475,2010
DAL,Dallas Love Field,3783407,2010
RSW,Southwest Florida International,3714157,2010
IND,Indianapolis International,3728698,2010
CVG,Cincinnati/Northern Kentucky International,3906826,2010
CMH,Port Columbus International,3145962,2010
PBI,Palm Beach International,2958416,2010
BDL,Bradley International,2640155,2010
ABQ,Albuquerque International Sunport,2828420,2010
JAX,Jacksonville International,2755719,2010
OGG,Kahului,2587214,2010
BUF,Buffalo Niagara International,2602968,2010
ANC,Ted Stevens Anchorage International,2342310,2010
ONT,Ontario International,2380881,2010
BUR,Bob Hope,2239804,2010
OMA,Eppley Airfield,2097958,2010
PVD,Theodore Francis Green State,1951566,2010
RNO,Reno/Tahoe International,1857488,2010
TUS,Tucson International,1844228,2010
OKC,Will Rogers World,1710993,2010
SDF,Louisville International-Standiford Field,1651037,2010
ORF,Norfolk International,1663294,2010
RIC,Richmond International,1651131,2010
LGB,Long Beach /Daugherty Field/,1451404,2010
GEG,Spokane International,1545115,2010
ELP,El Paso International,1509093,2010
BHM,Birmingham-Shuttlesworth International,1443215,2010
BOI,Boise Air Terminal/Gowen Field,1406750,2010
GUM,Guam International,1411024,2010
TUL,Tulsa International,1382895,2010
MHT,Manchester,1391797,2010
KOA,Kona International at Keahole,1276343,2010
CHS,Charleston AFB/International,1013418,2010
DAY,James M Cox Dayton International,1248787,2010
ALB,Albany International,1250282,2010
LIH,Lihue,1175203,2010
ROC,Greater Rochester International,1263965,2010
GRR,Gerald R. Ford International,1089002,2010
LIT,Adams Field,1097403,2010
SYR,Syracuse Hancock International,1024505,2010
HPN,Westchester County,999831,2010
DSM,Des Moines International,898840,2010
GSO,Piedmont Triad International,855073,2010
GSP,Greenville Spartanburg International,642512,2010
MYR,Myrtle Beach International,782737,2010
TYS,McGhee Tyson,804917,2010
PWM,Portland International Jetport,851566,2010
COS,City of Colorado Springs Municipal,877367,2010
